Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Homophones,coayenmarketcap.com,,?,,com,
Homophones,coeyenmarketcap.com,,?,,com,
Homophones,coinmarcetcap.com,72.52.4.122,US,UNITED STATES,localhost,com,
Bit Flipping,aoinmarketcap.com,,?,,com,
Bit Flipping,boinmarketcap.com,,?,,com,
Bit Flipping,cginmarketcap.com,,?,,com,
Bit Flipping,ckinmarketcap.com,,?,,com,
Bit Flipping,cminmarketcap.com,,?,,com,
Bit Flipping,cninmarketcap.com,,?,,com,
Bit Flipping,cohnmarketcap.com,,?,,com,
Bit Flipping,coi.marketcap.com,,?,,com,
Bit Flipping,coifmarketcap.com,,?,,com,
Bit Flipping,coijmarketcap.com,,?,,com,
Bit Flipping,coilmarketcap.com,,?,,com,
Bit Flipping,coin-arketcap.com,,?,,com,
Bit Flipping,coinearketcap.com,,?,,com,
Bit Flipping,coiniarketcap.com,,?,,com,
Bit Flipping,coinlarketcap.com,,?,,com,
Bit Flipping,coinma2ketcap.com,,?,,com,
Bit Flipping,coinmabketcap.com,,?,,com,
Bit Flipping,coinmapketcap.com,,?,,com,
Bit Flipping,coinmarietcap.com,,?,,com,
Bit Flipping,coinmarkdtcap.com,,?,,com,
Bit Flipping,coinmarke4cap.com,,?,,com,
Bit Flipping,coinmarkedcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Bit Flipping,coinmarkepcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Bit Flipping,coinmarketaap.com,,?,,com,
Bit Flipping,coinmarketbap.com,,?,,com,
Bit Flipping,coinmarketca0.com,,?,,com,
Bit Flipping,coinmarketcaq.com,,?,,com,
Bit Flipping,coinmarketcar.com,104.237.132.90,,mail.mxproc.com,com,
Bit Flipping,coinmarketcat.com,141.8.224.93,CN,CHINA,,com,
Bit Flipping,coinmarketcax.com,,?,,com,
Bit Flipping,coinmarketccp.com,,?,,com,
Bit Flipping,coinmarketcep.com,,?,,com,
Bit Flipping,coinmarketcip.com,,?,,com,
Bit Flipping,coinmarketcqp.com,198.58.122.166,,mail.mxproc.com,com,
Bit Flipping,coinmarketgap.com,141.8.224.169,CH,SWITZERLAND,,com,
Bit Flipping,coinmarketkap.com,141.8.224.93,CH,SWITZERLAND,,com,
Bit Flipping,coinmarketsap.com,,?,,com,
Bit Flipping,coinmarkeucap.com,,?,,com,
Bit Flipping,coinmarkevcap.com,,?,,com,
Bit Flipping,coinmarkgtcap.com,,?,,com,
Bit Flipping,coinmarkmtcap.com,,?,,com,
Bit Flipping,coinmaroetcap.com,,?,,com,
Bit Flipping,coinmasketcap.com,,?,,com,
Bit Flipping,coinmavketcap.com,,?,,com,
Bit Flipping,coinmazketcap.com,,?,,com,
Bit Flipping,coinmcrketcap.com,,?,,com,
Bit Flipping,coinmerketcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Bit Flipping,coinmirketcap.com,,?,,com,
Bit Flipping,coinmqrketcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Bit Flipping,coinoarketcap.com,,?,,com,
Bit Flipping,coiomarketcap.com,,?,,com,
Bit Flipping,coknmarketcap.com,,?,,com,
Bit Flipping,comnmarketcap.com,,?,,com,
Bit Flipping,coynmarketcap.com,,?,,com,
Bit Flipping,goinmarketcap.com,,?,,com,
Bit Flipping,koinmarketcap.com,50.63.202.35,US,UNITED STATES,,com,
Bit Flipping,soinmarketcap.com,,?,,com,
Homoglyphs,c0inmarketcap.com,50.63.202.44,US,UNITED STATES,,com,
Homoglyphs,coinrnarketcap.com,,?,,com,
Homoglyphs,colnmarketcap.com,50.63.202.51,US,UNITED STATES,,com,
Wrong TLD,coinmarketcap.ca,184.168.221.43,US,UNITED STATES,,ca,
Wrong TLD,coinmarketcap.ch,,?,,ch,
Wrong TLD,coinmarketcap.de,88.99.101.251,GB,UNITED KINGDOM,coinmarketcap.de,de,
Wrong TLD,coinmarketcap.edu,,?,,edu,
Wrong TLD,coinmarketcap.es,217.76.128.34,ES,SPAIN,,es,
Wrong TLD,coinmarketcap.fr,185.98.131.40,,mail.coinmarketcap.fr,fr,
Wrong TLD,coinmarketcap.it,62.149.128.157,IT,ITALY,mx.coinmarketcap.it,it,
Wrong TLD,coinmarketcap.jp,,?,,jp,
Wrong TLD,coinmarketcap.net,,?,,net,
Wrong TLD,coinmarketcap.nl,213.32.52.25,DK,DENMARK,mail.coinmarketcap.nl,nl,
Wrong TLD,coinmarketcap.no,,?,,no,
Wrong TLD,coinmarketcap.org,,?,,org,
Wrong TLD,coinmarketcap.ru,217.106.238.230,RU,RUSSIAN FEDERATION,mail.coinmarketcap.ru,ru,
Wrong TLD,coinmarketcap.se,,?,,se,
Wrong TLD,coinmarketcap.us,,?,,us,

