Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,uited.com,103.224.182.217,,mx92.m1bp.com,com,
Character Omission,unied.com,104.31.84.254,,txpro1.fcomet.com,com,
Bit Flipping,5nited.com,,?,,com,
Bit Flipping,enited.com,72.52.4.119,US,UNITED STATES,localhost,com,
Bit Flipping,qnited.com,83.169.44.27,DE,GERMANY,mail.qnited.com,com,
Bit Flipping,tnited.com,,?,,com,
Bit Flipping,u.ited.com,,?,,com,
Bit Flipping,ufited.com,79.98.25.1,LT,LITHUANIA,mx-backup.serveriai.lt,com,
Bit Flipping,ujited.com,,?,,com,
Bit Flipping,ulited.com,,?,,com,
Bit Flipping,unhted.com,,?,,com,
Bit Flipping,uni4ed.com,,?,,com,
Bit Flipping,unided.com,141.8.224.169,CH,SWITZERLAND,,com,
Bit Flipping,uniped.com,185.53.178.7,,mail.h-email.net,com,
Bit Flipping,unitdd.com,,?,,com,
Bit Flipping,unitee.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Bit Flipping,unitel.com,45.55.192.62,,smtp.secureserver.net,com,
Bit Flipping,unitet.com,72.52.4.120,RU,RUSSIAN FEDERATION,localhost,com,
Bit Flipping,unitgd.com,,?,,com,
Bit Flipping,unitmd.com,,?,,com,
Bit Flipping,uniued.com,,?,mxw.mxhichina.com,com,
Bit Flipping,unived.com,52.71.185.125,US,UNITED STATES,,com,
Bit Flipping,unkted.com,,?,,com,
Bit Flipping,unmted.com,,?,,com,
Bit Flipping,unyted.com,,?,,com,
Bit Flipping,uoited.com,,?,,com,
Bit Flipping,wnited.com,,?,,com,
Homoglyphs,unitecl.com,,?,,com,
Homoglyphs,unlted.com,50.63.202.62,US,UNITED STATES,,com,
Wrong TLD,united.ca,209.87.112.91,US,UNITED STATES,,ca,
Wrong TLD,united.ch,,?,mail.mail-ch.ch,ch,
Wrong TLD,united.de,81.28.233.93,CA,CANADA,mx16b.antispameurope.com,de,
Wrong TLD,united.edu,209.235.71.223,US,UNITED STATES,aspmx.l.google.com,edu,
Wrong TLD,united.es,192.185.32.232,,mail.united.es,es,
Wrong TLD,united.fr,209.87.112.91,US,UNITED STATES,mail.uasupport.com,fr,
Wrong TLD,united.it,62.149.128.72,IT,ITALY,mx.united.it,it,
Wrong TLD,united.jp,54.64.76.24,US,UNITED STATES,alt1.aspmx.l.google.com,jp,
Wrong TLD,united.net,192.169.213.222,,mx.united.net,net,
Wrong TLD,united.nl,145.131.10.247,NL,NETHERLANDS,bounce.argewebhosting.nl,nl,
Wrong TLD,united.no,104.20.87.14,,united-no.mail.protection.outlook.com,no,
Wrong TLD,united.org,74.204.78.19,US,UNITED STATES,,org,
Wrong TLD,united.ru,193.104.28.134,RU,RUSSIAN FEDERATION,mail.united.ru,ru,
Wrong TLD,united.se,212.97.134.18,DK,DENMARK,mail13.surftown.se,se,
Wrong TLD,united.us,89.31.143.1,DE,GERMANY,mx00.udag.de,us,

