(u'associatedbank.com', 'associatdbank.com.', 'associatdbank.com', u'typo', '199.191.50.73')
(u'associatedbank.com', 'asscoiatedbank.com.', 'asscoiatedbank.com', u'typo', '103.224.182.245')
(u'associatedbank.com', 'associatedbank.us.', 'associatedbank.us', 'wrongTLD', '12.192.9.143')
(u'associatedbank.com', 'associated-bank.org.', 'associated-bank.org', u'typo', '12.180.184.143')
(u'associatedbank.com', 'associsatedbank.com.', 'associsatedbank.com', u'typo', '141.8.224.93')
(u'associatedbank.com', 'associatedbank.org.', 'associatedbank.org', 'wrongTLD', '12.180.184.143')
(u'associatedbank.com', 'associatedbbank.com.', 'associatedbbank.com', u'typo', '12.192.9.143')
(u'associatedbank.com', 'associatedibank.com.', 'associatedibank.com', u'homo', '12.180.184.143')
(u'associatedbank.com', 'associated-bank.net.', 'associated-bank.net', u'typo', '12.180.184.143')
(u'associatedbank.com', 'associatedank.com.', 'associatedank.com', u'typo', '54.72.9.51')
(u'associatedbank.com', 'asociatedbank.com.', 'asociatedbank.com', u'typo', '12.192.9.143')
(u'associatedbank.com', 'associattedbank.com.', 'associattedbank.com', u'typo', '172.107.8.90')
(u'associatedbank.com', 'associatedbank.net.', 'associatedbank.net', 'wrongTLD', '12.180.184.143')
(u'associatedbank.com', 'associated-bank.com.', 'associated-bank.com', u'typo', '12.180.184.143')
(u'associatedbank.com', 'associatedbak.com.', 'associatedbak.com', u'typo', '12.180.184.143')
(u'associatedbank.com', 'assiciatedbank.com.', 'assiciatedbank.com', u'homo', '12.180.184.143')
(u'associatedbank.com', 'associaedbank.com.', 'associaedbank.com', u'typo', '12.192.9.143')
(u'associatedbank.com', 'asdociatedbank.com.', 'asdociatedbank.com', u'typo', '54.217.222.113')
(u'associatedbank.com', 'associatedbank.info.', 'associatedbank.info', 'wrongTLD', '12.192.9.143')
(u'associatedbank.com', 'associatedebank.com.', 'associatedebank.com', u'typo', '12.192.9.143')
(u'associatedbank.com', 'associatedbsnk.com.', 'associatedbsnk.com', u'typo', '172.107.10.188')
(u'associatedbank.com', 'associatedbanl.com.', 'associatedbanl.com', u'typo', '69.162.80.59')
(u'associatedbank.com', 'asssociatedbank.com.', 'asssociatedbank.com', u'typo', '12.180.184.143')
(u'associatedbank.com', 'assocciatedbank.com.', 'assocciatedbank.com', u'typo', '216.157.88.26')
(u'associatedbank.com', 'associatedbank-notify.com.', 'associatedbank-notify.com', 'combo', '198.12.18.56')
(u'associatedbank.com', 'associatednank.com.', 'associatednank.com', u'typo', '104.202.158.235')
(u'associatedbank.com', 'associaatedbank.com.', 'associaatedbank.com', u'typo', '12.180.184.143')
(u'associatedbank.com', 'associatebank.in.', 'associatebank.in', u'typo', '220.226.168.218')
(u'associatedbank.com', 'associatedbank.us.', 'associatedbank.us', 'wrongTLD', '12.180.184.143')
(u'associatedbank.com', 'associatedbbank.com.', 'associatedbbank.com', u'typo', '12.180.184.143')
(u'associatedbank.com', 'asociatedbank.com.', 'asociatedbank.com', u'typo', '12.180.184.143')
(u'associatedbank.com', 'associatedank.com.', 'associatedank.com', u'typo', '185.53.179.7')
(u'associatedbank.com', 'associatedbank-mn.com.', 'associatedbank-mn.com', 'combo', '12.192.9.143')
(u'associatedbank.com', 'associtedbank.com.', 'associtedbank.com', u'typo', '12.192.9.143')
(u'associatedbank.com', 'associaedbank.com.', 'associaedbank.com', u'typo', '12.180.184.143')
(u'associatedbank.com', 'associatedbanc.com.', 'associatedbanc.com', u'bits', '12.192.9.143')
(u'associatedbank.com', 'assoociatedbank.com.', 'assoociatedbank.com', u'typo', '103.224.212.239')
(u'associatedbank.com', 'associatedbamk.com.', 'associatedbamk.com', u'homo', '141.8.225.80')
(u'associatedbank.com', 'associatedbnak.com.', 'associatedbnak.com', u'typo', '54.72.9.51')
(u'associatedbank.com', 'associatedbank.info.', 'associatedbank.info', 'wrongTLD', '12.180.184.143')
(u'associatedbank.com', 'assocatedbank.com.', 'assocatedbank.com', u'typo', '141.8.224.169')
(u'associatedbank.com', 'assocaitedbank.com.', 'assocaitedbank.com', u'typo', '103.224.182.210')
(u'associatedbank.com', 'associatedbank.biz.', 'associatedbank.biz', 'wrongTLD', '12.192.9.143')
(u'associatedbank.com', 'associatebank.com.', 'associatebank.com', u'typo', '103.224.182.210')
(u'associatedbank.com', 'associatedbank.tv.', 'associatedbank.tv', 'wrongTLD', '12.192.9.143')
(u'associatedbank.com', 'associateddbank.com.', 'associateddbank.com', u'typo', '172.107.8.215')
(u'associatedbank.com', 'asssociatedbank.com.', 'asssociatedbank.com', u'typo', '12.192.9.143')
(u'associatedbank.com', 'associatedbannk.com.', 'associatedbannk.com', u'typo', '185.53.179.7')
(u'associatedbank.com', 'associatedbank-mn.com.', 'associatedbank-mn.com', 'combo', '12.180.184.143')
(u'associatedbank.com', 'associtedbank.com.', 'associtedbank.com', u'typo', '12.180.184.143')
(u'associatedbank.com', 'associatedbanks.com.', 'associatedbanks.com', u'typo', '69.162.80.56')
(u'associatedbank.com', 'associatedbnk.com.', 'associatedbnk.com', u'typo', '199.191.50.73')
(u'associatedbank.com', 'associatedbanc.com.', 'associatedbanc.com', u'bits', '12.180.184.143')
(u'associatedbank.com', 'assoiciatedbank.com.', 'assoiciatedbank.com', u'typo', '208.91.196.152')
(u'associatedbank.com', 'associatedban.com.', 'associatedban.com', u'typo', '199.59.242.150')
(u'associatedbank.com', 'associatedbnak.com.', 'associatedbnak.com', u'typo', '185.53.179.6')
(u'associatedbank.com', 'associatedbank.biz.', 'associatedbank.biz', 'wrongTLD', '12.180.184.143')
(u'associatedbank.com', 'associatedbank.ws.', 'associatedbank.ws', 'wrongTLD', '12.192.9.143')
(u'associatedbank.com', 'associatedbanl.com.', 'associatedbanl.com', u'typo', '95.211.219.65')
(u'associatedbank.com', 'associatedbanl.com.', 'associatedbanl.com', u'typo', '95.211.219.67')
(u'associatedbank.com', 'assocciatedbank.com.', 'assocciatedbank.com', u'typo', '37.48.65.136')
(u'associatedbank.com', 'assoiatedbank.com.', 'assoiatedbank.com', u'typo', '95.211.219.66')
(u'associatedbank.com', 'assoiatedbank.com.', 'assoiatedbank.com', u'typo', '95.211.219.67')
