(u'alaskaair.com', 'alasmaair.com.', 'alasmaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaaid.com.', 'alaskaaid.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'allaskaair.com.', 'allaskaair.com', u'typo', '72.3.202.136')
(u'alaskaair.com', 'alaskaaair.us.', 'alaskaaair.us', u'typo', '54.247.124.229')
(u'alaskaair.com', 'elaskaair.com.', 'elaskaair.com', u'homo', '52.52.64.247')
(u'alaskaair.com', 'aleskaair.com.', 'aleskaair.com', u'homo', '52.52.64.247')
(u'alaskaair.com', 'alaskaaur.com.', 'alaskaaur.com', u'homo', '52.52.64.247')
(u'alaskaair.com', 'alskaair.com.', 'alskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaair.email.', 'alaskaair.email', 'wrongTLD', '208.91.197.194')
(u'alaskaair.com', 'alasaair.com.', 'alasaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alascaair.com.', 'alascaair.com', u'bits', '52.52.64.247')
(u'alaskaair.com', 'aladkaair.com.', 'aladkaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaait.com.', 'alaskaait.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaar.com.', 'alaskaar.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alakaair.com.', 'alakaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaaire.com.', 'alaskaaire.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'aiaskaair.com.', 'aiaskaair.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'alaskaakr.com.', 'alaskaakr.com', u'bits', '52.86.163.26')
(u'alaskaair.com', 'alaskaiir.com.', 'alaskaiir.com', u'homo', '52.52.64.247')
(u'alaskaair.com', 'alaaskaair.com.', 'alaaskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'aalskaair.com.', 'aalskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alasklaair.com.', 'alasklaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaaira.com.', 'alaskaaira.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaalr.com.', 'alaskaalr.com', u'homo', '52.52.18.176')
(u'alaskaair.com', 'alaskaair.mobi.', 'alaskaair.mobi', 'wrongTLD', '209.99.40.219')
(u'alaskaair.com', 'alaskaair.co.kr.', 'alaskaair.co.kr', 'wrongTLD', '159.49.253.16')
(u'alaskaair.com', 'alaskaaif.com.', 'alaskaaif.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'aalaskaair.com.', 'aalaskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'laskaair.com.', 'laskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaaer.com.', 'alaskaaer.com', u'homo', '52.52.18.176')
(u'alaskaair.com', 'alaskaeir.com.', 'alaskaeir.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'alawkaair.com.', 'alawkaair.com', u'bits', '23.22.216.234')
(u'alaskaair.com', 'alasjaair.com.', 'alasjaair.com', u'bits', '52.52.18.176')
(u'alaskaair.com', 'alaskaaair.us.', 'alaskaaair.us', u'typo', '54.246.98.169')
(u'alaskaair.com', 'alkaskaair.com.', 'alkaskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'aoaskaair.com.', 'aoaskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaksaair.com.', 'alaksaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaaor.com.', 'alaskaaor.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'aslaskaair.com.', 'aslaskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alasakaair.com.', 'alasakaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'laaskaair.com.', 'laaskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskeair.com.', 'alaskeair.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'alaskaairt.com.', 'alaskaairt.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'akaskaair.com.', 'akaskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alskaair.com.', 'alskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaska-air.org.', 'alaska-air.org', u'typo', '63.236.116.16')
(u'alaskaair.com', 'aladkaair.com.', 'aladkaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaslkaair.com.', 'alaslkaair.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'alaska-air.net.', 'alaska-air.net', u'typo', '63.236.116.16')
(u'alaskaair.com', 'mx.support-alaskaairlines.com.', 'mx.support-alaskaairlines.com', 'combo', '66.96.140.160')
(u'alaskaair.com', 'alasaair.com.', 'alasaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaxkaair.com.', 'alaxkaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'mx.support-alaskaairlines.com.', 'mx.support-alaskaairlines.com', 'combo', '66.96.140.161')
(u'alaskaair.com', 'alaskaaie.com.', 'alaskaaie.com', u'typo', '72.3.202.136')
(u'alaskaair.com', 'alaskaai.com.', 'alaskaai.com', u'typo', '72.3.202.136')
(u'alaskaair.com', 'alasikaair.com.', 'alasikaair.com', u'homo', '52.52.64.247')
(u'alaskaair.com', 'alaska-air.com.', 'alaska-air.com', u'typo', '63.236.116.16')
(u'alaskaair.com', 'slaskaair.com.', 'slaskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alsaskaair.com.', 'alsaskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'akaskaair.com.', 'akaskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alasklaair.com.', 'alasklaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaiir.com.', 'alaskaiir.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'alaskaalr.com.', 'alaskaalr.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'aalskaair.com.', 'aalskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alasksaair.com.', 'alasksaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaaif.com.', 'alaskaaif.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alsakaair.com.', 'alsakaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'laskaair.com.', 'laskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaxkaair.com.', 'alaxkaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'aalaskaair.com.', 'aalaskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alazkaair.com.', 'alazkaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaaer.com.', 'alaskaaer.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'alaskaai4.com.', 'alaskaai4.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alasmaair.com.', 'alasmaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'support-alaskaairlines.com.', 'support-alaskaairlines.com', 'combo', '66.96.162.134')
(u'alaskaair.com', 'alawskaair.com.', 'alawskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskkaair.com.', 'alaskkaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaairs.com.', 'alaskaairs.com', u'typo', '72.3.202.136')
(u'alaskaair.com', 'alackaair.com.', 'alackaair.com', u'bits', '52.52.18.176')
(u'alaskaair.com', 'alkaskaair.com.', 'alkaskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alasksair.com.', 'alasksair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alawkaair.com.', 'alawkaair.com', u'bits', '52.52.18.176')
(u'alaskaair.com', 'laaskaair.com.', 'laaskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaeir.com.', 'alaskaeir.com', u'homo', '52.52.18.176')
(u'alaskaair.com', 'alasiaair.com.', 'alasiaair.com', u'bits', '52.52.64.247')
(u'alaskaair.com', 'alaskaairr.com.', 'alaskaairr.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alazkaair.com.', 'alazkaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaasir.com.', 'alaskaasir.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alasakair.com.', 'alasakair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaairl.com.', 'alaskaairl.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaksaair.com.', 'alaksaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'aslaskaair.com.', 'aslaskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alasakaair.com.', 'alasakaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaair.co.', 'alaskaair.co', 'wrongTLD', '23.22.216.234')
(u'alaskaair.com', 'aleskaair.com.', 'aleskaair.com', u'homo', '52.52.18.176')
(u'alaskaair.com', 'alasdkaair.com.', 'alasdkaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'elaskaair.com.', 'elaskaair.com', u'homo', '52.52.18.176')
(u'alaskaair.com', 'alaskaaur.com.', 'alaskaaur.com', u'homo', '52.52.18.176')
(u'alaskaair.com', 'alaskiaair.com.', 'alaskiaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alskaair.com.', 'alskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alasaair.com.', 'alasaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaai.org.', 'alaskaai.org', u'typo', '216.250.120.237')
(u'alaskaair.com', 'alascaair.com.', 'alascaair.com', u'bits', '52.52.18.176')
(u'alaskaair.com', 'alaskaaair.com.', 'alaskaaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alasikaair.com.', 'alasikaair.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'aklaskaair.com.', 'aklaskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'aiaskaair.com.', 'aiaskaair.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'alaskaaire.com.', 'alaskaaire.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alakaair.com.', 'alakaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaair.net.', 'alaskaair.net', 'wrongTLD', '63.236.116.5')
(u'alaskaair.com', 'alaskaaid.com.', 'alaskaaid.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaaior.com.', 'alaskaaior.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaiir.com.', 'alaskaiir.com', u'homo', '52.52.18.176')
(u'alaskaair.com', 'alaqskaair.com.', 'alaqskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'aalskaair.com.', 'aalskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskkaair.com.', 'alaskkaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaaif.com.', 'alaskaaif.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'aiaskaair.com.', 'aiaskaair.com', u'homo', '52.52.64.247')
(u'alaskaair.com', 'alaskaeir.com.', 'alaskaeir.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'alawkaair.com.', 'alawkaair.com', u'bits', '52.86.163.26')
(u'alaskaair.com', 'alaskaait.com.', 'alaskaait.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaair.tours.', 'alaskaair.tours', 'wrongTLD', '209.99.40.219')
(u'alaskaair.com', 'aolaskaair.com.', 'aolaskaair.com', u'typo', '149.174.110.103')
(u'alaskaair.com', 'alaksaair.com.', 'alaksaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alasiaair.com.', 'alasiaair.com', u'bits', '23.22.216.234')
(u'alaskaair.com', 'alaskaairr.com.', 'alaskaairr.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alasakaair.com.', 'alasakaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaasir.com.', 'alaskaasir.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaair.asia.', 'alaskaair.asia', 'wrongTLD', '209.99.40.219')
(u'alaskaair.com', 'aslaskaair.com.', 'aslaskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alasakair.com.', 'alasakair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaair.org.', 'alaskaair.org', 'wrongTLD', '63.236.116.16')
(u'alaskaair.com', 'alaskeair.com.', 'alaskeair.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'alasklaair.com.', 'alasklaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'aleskaair.com.', 'aleskaair.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'alaslaair.com.', 'alaslaair.com', u'typo', '72.3.202.136')
(u'alaskaair.com', 'alaskaaira.com.', 'alaskaaira.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alskaair.com.', 'alskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'aolaskaair.com.', 'aolaskaair.com', u'typo', '207.200.74.30')
(u'alaskaair.com', 'alasskaair.com.', 'alasskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'aloaskaair.com.', 'aloaskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaairt.com.', 'alaskaairt.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaaair.us.', 'alaskaaair.us', u'typo', '54.247.92.186')
(u'alaskaair.com', 'alaslkaair.com.', 'alaslkaair.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'alaskaiar.com.', 'alaskaiar.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaaair.us.', 'alaskaaair.us', u'typo', '46.51.179.61')
(u'alaskaair.com', 'alasjaair.com.', 'alasjaair.com', u'bits', '23.22.216.234')
(u'alaskaair.com', 'alaskaaair.com.', 'alaskaaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskeair.com.', 'alaskeair.com', u'homo', '52.52.64.247')
(u'alaskaair.com', 'slaskaair.com.', 'slaskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'aolaskaair.com.', 'aolaskaair.com', u'typo', '149.174.107.98')
(u'alaskaair.com', 'alsaskaair.com.', 'alsaskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alasikaair.com.', 'alasikaair.com', u'homo', '52.52.18.176')
(u'alaskaair.com', 'alaskaiir.com.', 'alaskaiir.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'alaskaaior.com.', 'alaskaaior.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'akaskaair.com.', 'akaskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaslkaair.com.', 'alaslkaair.com', u'homo', '52.52.64.247')
(u'alaskaair.com', 'aalskaair.com.', 'aalskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaqskaair.com.', 'alaqskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alasksaair.com.', 'alasksaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alsakaair.com.', 'alsakaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaaif.com.', 'alaskaaif.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaai4.com.', 'alaskaai4.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaaiir.com.', 'alaskaaiir.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alawskaair.com.', 'alawskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaxkaair.com.', 'alaxkaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'slaskaair.com.', 'slaskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alsskaair.com.', 'alsskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alsaskaair.com.', 'alsaskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskkaair.com.', 'alaskkaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alasksaair.com.', 'alasksaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alsakaair.com.', 'alsakaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaairt.com.', 'alaskaairt.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaair.site.', 'alaskaair.site', 'wrongTLD', '209.99.40.219')
(u'alaskaair.com', 'alaskaairl.com.', 'alaskaairl.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaai4.com.', 'alaskaai4.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaairr.com.', 'alaskaairr.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alasiaair.com.', 'alasiaair.com', u'bits', '52.52.18.176')
(u'alaskaair.com', 'alasskaair.com.', 'alasskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'aloaskaair.com.', 'aloaskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaasir.com.', 'alaskaasir.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaair-virtual.org.', 'alaskaair-virtual.org', 'combo', '192.124.249.155')
(u'alaskaair.com', 'alazkaair.com.', 'alazkaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alawskaair.com.', 'alawskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaair.co.', 'alaskaair.co', 'wrongTLD', '52.86.163.26')
(u'alaskaair.com', 'alasakair.com.', 'alasakair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskair.us.', 'alaskair.us', u'typo', '63.236.116.16')
(u'alaskaair.com', 'alasmaair.com.', 'alasmaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaair.org.', 'alaskaair.org', 'wrongTLD', '159.49.253.14')
(u'alaskaair.com', 'alaskiaair.com.', 'alaskiaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alackaair.com.', 'alackaair.com', u'bits', '23.22.216.234')
(u'alaskaair.com', 'alasdkaair.com.', 'alasdkaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaiar.com.', 'alaskaiar.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaar.com.', 'alaskaar.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alasksair.com.', 'alasksair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaair.jobs.', 'alaskaair.jobs', 'wrongTLD', '50.19.241.165')
(u'alaskaair.com', 'a1askaair.com.', 'a1askaair.com', u'homo', '81.169.145.163')
(u'alaskaair.com', 'aklaskaair.com.', 'aklaskaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alasikaair.com.', 'alasikaair.com', u'homo', '52.86.163.26')
(u'alaskaair.com', 'alaskaairl.com.', 'alaskaairl.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaair.net.', 'alaskaair.net', 'wrongTLD', '159.49.253.16')
(u'alaskaair.com', 'alaskaaair.com.', 'alaskaaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskaakr.com.', 'alaskaakr.com', u'bits', '52.52.64.247')
(u'alaskaair.com', 'aaskaair.com.', 'aaskaair.com', u'typo', '72.3.202.136')
(u'alaskaair.com', 'alaskaaid.com.', 'alaskaaid.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskiaair.com.', 'alaskiaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskiair.com.', 'alaskiair.com', u'homo', '72.3.202.136')
(u'alaskaair.com', 'alaskaaior.com.', 'alaskaaior.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'aleskaair.com.', 'aleskaair.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'elaskaair.com.', 'elaskaair.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'alaskaaur.com.', 'alaskaaur.com', u'homo', '23.22.216.234')
(u'alaskaair.com', 'alaskaaiir.com.', 'alaskaaiir.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaqskaair.com.', 'alaqskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'aklaskaair.com.', 'aklaskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaari.com.', 'alaskaari.com', u'typo', '72.3.202.136')
(u'alaskaair.com', 'alaskkaair.com.', 'alaskkaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaaair.us.', 'alaskaaair.us', u'typo', '54.247.163.194')
(u'alaskaair.com', 'alsskaair.com.', 'alsskaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaait.com.', 'alaskaait.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alascaair.com.', 'alascaair.com', u'bits', '23.22.216.234')
(u'alaskaair.com', 'alaskaair.info.', 'alaskaair.info', 'wrongTLD', '208.91.197.194')
(u'alaskaair.com', 'aiaskaair.com.', 'aiaskaair.com', u'homo', '52.52.18.176')
(u'alaskaair.com', 'alaskaaid.com.', 'alaskaaid.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaais.com.', 'alaskaais.com', u'bits', '209.34.246.10')
(u'alaskaair.com', 'alaskaaire.com.', 'alaskaaire.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alakaair.com.', 'alakaair.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alasiaair.com.', 'alasiaair.com', u'bits', '52.86.163.26')
(u'alaskaair.com', 'alaskaairr.com.', 'alaskaairr.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaasir.com.', 'alaskaasir.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alasakair.com.', 'alasakair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaair.us.', 'alaskaair.us', 'wrongTLD', '208.91.197.194')
(u'alaskaair.com', 'aladkaair.com.', 'aladkaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alaskaaira.com.', 'alaskaaira.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alaskaair-com.com.', 'alaskaair-com.com', 'combo', '5.79.71.177')
(u'alaskaair.com', 'alaskaait.com.', 'alaskaait.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alasdkaair.com.', 'alasdkaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'aloaskaair.com.', 'aloaskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alasskaair.com.', 'alasskaair.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskair.ca.', 'alaskair.ca', u'typo', '185.53.178.8')
(u'alaskaair.com', 'alaskaar.com.', 'alaskaar.com', u'typo', '23.22.216.234')
(u'alaskaair.com', 'alaskaaair.com.', 'alaskaaair.com', u'typo', '52.86.163.26')
(u'alaskaair.com', 'alasjaair.com.', 'alasjaair.com', u'bits', '52.86.163.26')
(u'alaskaair.com', 'alaskaiar.com.', 'alaskaiar.com', u'typo', '52.52.18.176')
(u'alaskaair.com', 'alaskair.us.', 'alaskair.us', u'typo', '159.49.253.14')
(u'alaskaair.com', 'alaaskaair.com.', 'alaaskaair.com', u'typo', '52.52.64.247')
(u'alaskaair.com', 'alasklaair.com.', 'alasklaair.com', u'typo', '52.52.64.247')
